JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457379.500000000, A.D. 2015-Dec-23 00:00:00.0000,  1.858897622970448E+06,  1.360095235079312E+08,  5.720905486150212E+07, -3.098399538345193E+01, -7.015688160912530E-01, -5.340336778723525E-01,  4.922181236084031E+02,  1.475632811487110E+08, -1.243992924929031E+00,
2457380.500000000, A.D. 2015-Dec-24 00:00:00.0000, -8.183644925864444E+05,  1.359279006384276E+08,  5.715412888263384E+07, -3.098807979462719E+01, -1.187976852416334E+00, -7.374321528612561E-01,  4.918646426776520E+02,  1.474573102316250E+08, -1.208939369539909E+00,
2457381.500000000, A.D. 2015-Dec-25 00:00:00.0000, -3.495568128360235E+06,  1.358042216647215E+08,  5.708162234314138E+07, -3.098263529219456E+01, -1.675059932283355E+00, -9.409778943034888E-01,  4.915213487799937E+02,  1.473543933102296E+08, -1.173299545384994E+00,
2457382.500000000, A.D. 2015-Dec-26 00:00:00.0000, -6.171888396519182E+06,  1.356384360185204E+08,  5.699152595798805E+07, -3.096762585773286E+01, -2.162638214242692E+00, -1.144591117458774E+00,  4.911884100421887E+02,  1.472545807876596E+08, -1.137079253093375E+00,
2457383.500000000, A.D. 2015-Dec-27 00:00:00.0000, -8.846497500102615E+06,  1.354305087508096E+08,  5.688383738245469E+07, -3.094302017609107E+01, -2.650529995735194E+00, -1.348190958563218E+00,  4.908659929189400E+02,  1.471579225657796E+08, -1.100284290322959E+00,
2457384.500000000, A.D. 2015-Dec-28 00:00:00.0000, -1.151856514120587E+07,  1.351804206889797E+08,  5.675856130346104E+07, -3.090879167674622E+01, -3.138551800498381E+00, -1.551695519814627E+00,  4.905542621972883E+02,  1.470644680465015E+08, -1.062920430360101E+00,
2457385.500000000, A.D. 2015-Dec-29 00:00:00.0000, -1.418725893259387E+07,  1.348881685858230E+08,  5.661570952686322E+07, -3.086491857247340E+01, -3.626518478806084E+00, -1.755021916632261E+00,  4.902533810046839E+02,  1.469742661342047E+08, -1.024993417116054E+00,
2457386.500000000, A.D. 2015-Dec-30 00:00:00.0000, -1.685174481262301E+07,  1.345537652594593E+08,  5.645530106072359E+07, -3.081138389726873E+01, -4.114243316481825E+00, -1.958086323205416E+00,  4.899635108167980E+02,  1.468873652380775E+08, -9.865089710761835E-01,
2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -1.951118746337173E+07,  1.341772397236140E+08,  5.627736219477392E+07, -3.074817554233259E+01, -4.601538148562739E+00, -2.160804015028869E+00,  4.896848114625909E+02,  1.468038132736367E+08, -9.474728018160058E-01,
2457388.500000000, A.D. 2016-Jan-01 00:00:00.0000, -2.216475073170254E+07,  1.337586373079915E+08,  5.608192657632050E+07, -3.067528628745051E+01, -5.088213474549510E+00, -2.363089408897848E+00,  4.894174411251281E+02,  1.467236576629724E+08, -9.078906247827002E-01,
2457389.500000000, A.D. 2016-Jan-02 00:00:00.0000, -2.481159805272961E+07,  1.332980197686930E+08,  5.586903528275898E+07, -3.059271382481894E+01, -5.574078573320766E+00, -2.564856101634002E+00,  4.891615563370167E+02,  1.466469453333797E+08, -8.677681818960568E-01,
2457390.500000000, A.D. 2016-Jan-03 00:00:00.0000, -2.745089287491973E+07,  1.327954653887658E+08,  5.563873689074623E+07, -3.050046077260191E+01, -6.058941616528274E+00, -2.766016908971911E+00,  4.889173119692747E+02,  1.465737227140217E+08, -8.271112667038274E-01,
2457391.500000000, A.D. 2016-Jan-04 00:00:00.0000, -3.008179908583223E+07,  1.322510690690552E+08,  5.539108754195679E+07, -3.039853467576733E+01, -6.542609779480140E+00, -2.966483905956514E+00,  4.886848612121437E+02,  1.465040357301774E+08, -7.859257553591943E-01,
2457392.500000000, A.D. 2016-Jan-05 00:00:00.0000, -3.270348143729367E+07,  1.316649424096310E+08,  5.512615100523423E+07, -3.028694799173086E+01, -7.024889348154900E+00, -3.166168470253738E+00,  4.884643555459727E+02,  1.464379297945131E+08, -7.442176447805705E-01,
2457393.500000000, A.D. 2016-Jan-06 00:00:00.0000, -3.531510596857265E+07,  1.310372137822124E+08,  5.484399873480722E+07, -3.016571805786082E+01, -7.505585820090950E+00, -3.364981330361261E+00,  4.882559446999112E+02,  1.463754497946984E+08, -7.019930992913265E-01,
2457394.500000000, A.D. 2016-Jan-07 00:00:00.0000, -3.791584042582663E+07,  1.303680283942640E+08,  5.454470992400652E+07, -3.003486703691531E+01, -7.984503995557665E+00, -3.562832622379785E+00,  4.880597765957687E+02,  1.463166400765764E+08, -6.592585072305097E-01,
2457395.500000000, A.D. 2016-Jan-08 00:00:00.0000, -4.050485467569702E+07,  1.296575483458105E+08,  5.422837155346642E+07, -2.989442183516819E+01, -8.461448054024387E+00, -3.759631962536350E+00,  4.878759972738328E+02,  1.462615444219236E+08, -6.160205501560673E-01,
2457396.500000000, A.D. 2016-Jan-09 00:00:00.0000, -4.308132111042789E+07,  1.289059526804760E+08,  5.389507843192795E+07, -2.974441398702954E+01, -8.936221610601471E+00, -3.955288548807921E+00,  4.877047507962985E+02,  1.462102060194998E+08, -5.722862903938979E-01,
2457397.500000000, A.D. 2016-Jan-10 00:00:00.0000, -4.564441504137191E+07,  1.281134374326173E+08,  5.354493322624707E+07, -2.958487950105375E+01, -9.408627750165664E+00, -4.149711313615729E+00,  4.875461791214705E+02,  1.461626674273339E+08, -5.280632890521829E-01,
2457398.500000000, A.D. 2016-Jan-11 00:00:00.0000, -4.819331507751420E+07,  1.272802156722580E+08,  5.317804647494322E+07, -2.941585866811677E+01, -9.878469046744424E+00, -4.342809157471906E+00,  4.874004219370655E+02,  1.461189705227500E+08, -4.833597764092502E-01,
2457399.500000000, A.D. 2016-Jan-12 00:00:00.0000, -5.072720348622810E+07,  1.264065175481189E+08,  5.279453657699568E+07, -2.923739584575364E+01, -1.034554759449676E+01, -4.534491291887208E+00,  4.872676164331559E+02,  1.460791564342970E+08, -4.381849060725314E-01,
2457400.500000000, A.D. 2016-Jan-13 00:00:00.0000, -5.324526653546776E+07,  1.254925903257982E+08,  5.239452974599146E+07, -2.904953925092443E+01, -1.080966509834817E+01, -4.724667695583669E+00,  4.871478969860330E+02,  1.460432654469736E+08, -3.925491226097037E-01,
2457401.500000000, A.D. 2016-Jan-14 00:00:00.0000, -5.574669481998321E+07,  1.245386984135905E+08,  5.197815992143868E+07, -2.885234080434277E+01, -1.127062307654614E+01, -4.913249636984322E+00,  4.870413947189418E+02,  1.460113368705398E+08, -3.464646448060619E-01,
2457402.500000000, A.D. 2016-Jan-15 00:00:00.0000, -5.823068357744114E+07,  1.235451233652242E+08,  5.154556863547429E+07, -2.864585605397738E+01, -1.172822318900562E+01, -5.100150166309377E+00,  4.869482369123378E+02,  1.459834088627161E+08, -2.999460133610261E-01,
2457403.500000000, A.D. 2016-Jan-16 00:00:00.0000, -6.069643300093839E+07,  1.225121638506893E+08,  5.109690484170263E+07, -2.843014416112170E+01, -1.218226763167701E+01, -5.285284491780994E+00,  4.868685462581680E+02,  1.459595182056229E+08, -2.530106092036792E-01,
2457404.500000000, A.D. 2016-Jan-17 00:00:00.0000, -6.314314855109943E+07,  1.214401355939682E+08,  5.063232471657047E+07, -2.820526789488419E+01, -1.263255949129366E+01, -5.468570251834000E+00,  4.868024399786563E+02,  1.459397000415988E+08, -2.056790690197756E-01,
2457405.500000000, A.D. 2016-Jan-18 00:00:00.0000, -6.557004126643084E+07,  1.203293712844461E+08,  5.015199143755803E+07, -2.797129359498866E+01, -1.307890299743724E+01, -5.649927804875201E+00,  4.867500288402492E+02,  1.459239875775892E+08, -1.579756059892890E-01,
