*******************************************************************************
Ephemeris / WWW_USER Wed Feb 24 01:44:04 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 3552 Don Quixote (1983 SA)      {source: JPL#129}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1983-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Mar-20 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .36171        
   EC= .7138591939946456   QR= 1.208904750718783   TP= 2455083.114208498       
   OM= 350.2678783992935   W=  317.1118412185904   IN= 30.96837943826426       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 9.5                ROTPER= 7.7                 
   H= 12.9                 G= .150                 B-V= n.a.                   
                           ALBEDO= .030            STYP= D                     
*******************************************************************************
JDTDB,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2445636.500000000, A.D. 1983-Oct-29 00:00:00.0000,  2.366733820304982E+08,  3.743685447542817E+07,  8.438364142913356E+07,  4.200806893398496E+00,  1.656506484955835E+01,  2.329944997528217E+01,
2445637.500000000, A.D. 1983-Oct-30 00:00:00.0000,  2.370292113141925E+08,  3.886693623876965E+07,  8.639415640582652E+07,  4.036334697515017E+00,  1.653857759288778E+01,  2.324015784207919E+01,
2445638.500000000, A.D. 1983-Oct-31 00:00:00.0000,  2.373709212816348E+08,  4.029470338487749E+07,  8.839952545121105E+07,  3.873967195694160E+00,  1.651148966859043E+01,  2.318033605878975E+01,
2445639.500000000, A.D. 1983-Nov-01 00:00:00.0000,  2.376986928231454E+08,  4.172010502322584E+07,  9.039970405097558E+07,  3.713682240777033E+00,  1.648382428281080E+01,  2.312001334916697E+01,
2445640.500000000, A.D. 1983-Nov-02 00:00:00.0000,  2.380127049069220E+08,  4.314309224056302E+07,  9.239465013330360E+07,  3.555457491559607E+00,  1.645560400165092E+01,  2.305921753218367E+01,
2445641.500000000, A.D. 1983-Nov-03 00:00:00.0000,  2.383131345636021E+08,  4.456361804613575E+07,  9.438432399160512E+07,  3.399270443246432E+00,  1.642685076332648E+01,  2.299797554297087E+01,
2445642.500000000, A.D. 1983-Nov-04 00:00:00.0000,  2.386001568733840E+08,  4.598163731797022E+07,  9.636868820905620E+07,  3.245098456247020E+00,  1.639758589046467E+01,  2.293631345371761E+01,
2445643.500000000, A.D. 1983-Nov-05 00:00:00.0000,  2.388739449555670E+08,  4.739710675022041E+07,  9.834770758494087E+07,  3.092918783376642E+00,  1.636783010250849E+01,  2.287425649449216E+01,
2445644.500000000, A.D. 1983-Nov-06 00:00:00.0000,  2.391346699603752E+08,  4.880998480159163E+07,  1.003213490627873E+08,  2.942708595521037E+00,  1.633760352819420E+01,  2.281182907394789E+01,
2445645.500000000, A.D. 1983-Nov-07 00:00:00.0000,  2.393825010629336E+08,  5.022023164484414E+07,  1.022895816602868E+08,  2.794445005828777E+00,  1.630692571807216E+01,  2.274905479988108E+01,
2445646.500000000, A.D. 1983-Nov-08 00:00:00.0000,  2.396176054592741E+08,  5.162780911737934E+07,  1.042523764009819E+08,  2.648105092486882E+00,  1.627581565704179E+01,  2.268595649960994E+01,
2445647.500000000, A.D. 1983-Nov-09 00:00:00.0000,  2.398401483642496E+08,  5.303268067290887E+07,  1.062097062477055E+08,  2.503665920140836E+00,  1.624429177687636E+01,  2.262255624014882E+01,
2445648.500000000, A.D. 1983-Nov-10 00:00:00.0000,  2.400502930112419E+08,  5.443481133420431E+07,  1.081615460377544E+08,  2.361104560014274E+00,  1.621237196871328E+01,  2.255887534815267E+01,
2445649.500000000, A.D. 1983-Nov-11 00:00:00.0000,  2.402482006535547E+08,  5.583416764692394E+07,  1.101078724197749E+08,  2.220398108784486E+00,  1.618007359548823E+01,  2.249493442961038E+01,
2445650.500000000, A.D. 1983-Nov-12 00:00:00.0000,  2.404340305673853E+08,  5.723071763451061E+07,  1.120486637923381E+08,  2.081523706267314E+00,  1.614741350429438E+01,  2.243075338926822E+01,
2445651.500000000, A.D. 1983-Nov-13 00:00:00.0000,  2.406079400562741E+08,  5.862443075415353E+07,  1.139839002441813E+08,  1.944458551965752E+00,  1.611440803864765E+01,  2.236635144976556E+01,
2445652.500000000, A.D. 1983-Nov-14 00:00:00.0000,  2.407700844569374E+08,  6.001527785380522E+07,  1.159135634960904E+08,  1.809179920531234E+00,  1.608107305064362E+01,  2.230174717046950E+01,
2445653.500000000, A.D. 1983-Nov-15 00:00:00.0000,  2.409206171463911E+08,  6.140323113024361E+07,  1.178376368443948E+08,  1.675665176189320E+00,  1.604742391299020E+01,  2.223695846599450E+01,
2445654.500000000, A.D. 1983-Nov-16 00:00:00.0000,  2.410596895502766E+08,  6.278826408816776E+07,  1.197561051060495E+08,  1.543891786176454E+00,  1.601347553090392E+01,  2.217200262439651E+01,
2445655.500000000, A.D. 1983-Nov-17 00:00:00.0000,  2.411874511523079E+08,  6.417035150031534E+07,  1.216689545652743E+08,  1.413837333236240E+00,  1.597924235385769E+01,  2.210689632503234E+01,
2445656.500000000, A.D. 1983-Nov-18 00:00:00.0000,  2.413040495047587E+08,  6.554946936858812E+07,  1.235761729217218E+08,  1.285479527218256E+00,  1.594473838717044E+01,  2.204165565607666E+01,
2445657.500000000, A.D. 1983-Nov-19 00:00:00.0000,  2.414096302399144E+08,  6.692559488617184E+07,  1.254777492401429E+08,  1.158796215824278E+00,  1.590997720342915E+01,  2.197629613169015E+01,
2445658.500000000, A.D. 1983-Nov-20 00:00:00.0000,  2.415043370824177E+08,  6.829870640063523E+07,  1.273736739015210E+08,  1.033765394543840E+00,  1.587497195373535E+01,  2.191083270883409E+01,
